id,componenttype,contentrole,content,componentsectionid,questionid,ordering,assetid
164,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_22_cadena_contratistas.png,4,22,164,ddhh_22_cadena_contratistas
165,Paragraph,,La debida diligencia alcanza a proveedores y contratistas vinculados a la operación.,4,22,165,
166,Multiple Choice Question,,,4,22,166,
167,Paragraph,,"La responsabilidad de respetar no termina en la puerta de la empresa. Una compañía puede causar un impacto, contribuir a él o estar directamente vinculada a impactos a través de sus relaciones comerciales, incluso sin haberlos provocado. Por eso Minsur debe evaluar a proveedores y contratistas, donde pueden existir riesgos como trabajo forzoso, trabajo infantil, condiciones inseguras o afectaciones a comunidades. Debe usar su capacidad de influencia —cláusulas contractuales, evaluaciones, requisitos de gestión y planes de mejora— para prevenir y mitigar esos impactos. Ignorar la cadena de suministro deja un riesgo grave sin gestionar.",4,22,167,
168,Paragraph,,B y C minimizan la obligación (la reducen a trámite o imagen). D confunde el objetivo: no se trata de precio. E es falso: los contratistas forman parte de las relaciones comerciales de la empresa y de su esfera de responsabilidad.,4,22,168,
169,Paragraph,Exercise,Reconoce la responsabilidad sobre impactos en la cadena de suministro y contratistas.,4,22,169,
170,Paragraph,Source,"Principios Rectores de la ONU (2011), Principios 13, 17 y 19 (relaciones comerciales).",4,22,170,
171,Heading,Heading,"4.4 Seguimiento, auditoría y mejora continua",4,,171,
172,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_23_auditorias_externas.png,4,23,172,ddhh_23_auditorias_externas
173,Paragraph,,La auditoría externa e independiente verifica el cumplimiento e identifica mejoras.,4,23,173,
174,Multiple Choice Question,,,4,23,174,
175,Paragraph,,"Las auditorías externas son parte del seguimiento del sistema de debida diligencia. Al ser realizadas por entidades independientes, aportan una mirada imparcial que permite verificar si la empresa cumple realmente sus compromisos y estándares, y detectar brechas y oportunidades de mejora que internamente podrían pasar inadvertidas. No reemplazan los controles internos ni eliminan los riesgos por sí solas: los complementan y refuerzan la credibilidad del sistema. Para Minsur, sus resultados retroalimentan la mejora continua, generando planes de acción para corregir las debilidades encontradas.",4,23,175,
176,Paragraph,,"B confunde la auditoría del sistema con la fiscalización punitiva de personas. C es incorrecto: la auditoría complementa, no sustituye, los controles internos. D promete algo imposible: ningún sistema elimina por completo los riesgos. E le atribuye un fin productivo ajeno.",4,23,176,
177,Paragraph,Exercise,"Reconoce el objetivo, la independencia y el aporte de las auditorías externas al ciclo de mejora.",4,23,177,
178,Paragraph,Source,"Principios Rectores de la ONU (2011), seguimiento de la eficacia (Principio 20).",4,23,178,
179,Heading,Heading,5.1 Mecanismos de reclamación y Línea Ética / Canal de Integridad,5,,179,
180,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_24_canal_integridad.png,5,24,180,ddhh_24_canal_integridad
181,Paragraph,,El Canal de Integridad: vía accesible para reportar quejas y posibles vulneraciones.,5,24,181,
182,Multiple Choice Question,,,5,24,182,
183,Paragraph,,"Un mecanismo de reclamación —a menudo llamado Línea Ética o Canal de Integridad— permite que cualquier persona vinculada a la operación (colaboradores, contratistas y también comunidades) reporte quejas, denuncias de conductas indebidas o posibles vulneraciones a los Derechos Humanos. Su valor está en ofrecer una vía temprana y accesible para detectar problemas antes de que se agraven y canalizarlos hacia su investigación y, si corresponde, su remediación. En Minsur, este canal es una pieza central del sistema: convierte una preocupación en un caso gestionable y permite a la empresa aprender de lo reportado. No reemplaza a la justicia estatal, pero la complementa.",5,24,183,
184,Paragraph,,"B lo restringe a la gerencia, cuando debe ser accesible a todas las partes interesadas. C lo confunde con evaluación de desempeño. D lo banaliza como trámite operativo. E es incorrecto: complementa, pero no sustituye, a la justicia del Estado.",5,24,184,
185,Paragraph,Exercise,Reconoce la función y el alcance del mecanismo de reclamación / Canal de Integridad.,5,24,185,
186,Paragraph,Source,"Principios Rectores de la ONU (2011), mecanismos de reclamación (Principios 29 y 31); Canal de Integridad de Minsur.",5,24,186,
187,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_25_criterios_efectividad.png,5,25,187,ddhh_25_criterios_efectividad
188,Paragraph,,"Un canal efectivo es accesible, confidencial, transparente y con seguimiento real.",5,25,188,
189,Multiple Choice Question,,,5,25,189,
190,Paragraph,,"Que exista un canal no garantiza que funcione. Los Principios Rectores establecen criterios de eficacia: un mecanismo debe ser legítimo (generar confianza), accesible (fácil de usar y conocido por todos), predecible (con plazos y etapas claras), equitativo, transparente, compatible con los Derechos Humanos y una fuente de aprendizaje continuo; en el caso de mecanismos operacionales, además, basado en el diálogo. En la práctica esto se traduce en confidencialidad, protección frente a represalias, investigación seria y seguimiento. Para Minsur, evaluar su canal contra estos criterios permite saber si las personas realmente confían en él y lo usan.",5,25,190,
191,Paragraph,,"B viola la accesibilidad (debe llegar a todos, no solo a jefaturas). C incumple el seguimiento. D impone una barrera indebida: no se exige prueba irrefutable para reportar de buena fe. E confunde el fin: no todo caso termina en sanción; el objetivo es esclarecer y remediar.",5,25,191,
192,Paragraph,Exercise,Reconoce los criterios de eficacia de un mecanismo de reclamación.,5,25,192,
193,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 31 (criterios de eficacia de los mecanismos).",5,25,193,
194,Heading,Heading,5.2 Gestión de denuncias,5,,194,
195,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_26_gestion_denuncias.png,5,26,195,ddhh_26_gestion_denuncias
196,Paragraph,,"Toda denuncia se registra, investiga con debido proceso y responde, con confidencialidad.",5,26,196,
197,Multiple Choice Question,,,5,26,197,
198,Paragraph,,"Toda denuncia recibida por el canal debe gestionarse con un proceso ordenado: registrarse, investigarse de forma objetiva e imparcial respetando el debido proceso —escuchando a las partes y reuniendo información— y cerrarse con una respuesta y, si corresponde, medidas correctivas o de remediación. Durante todo el proceso se protege la confidencialidad y se evita cualquier represalia contra quien reportó de buena fe. No importa el volumen ni quién la presenta: el valor está en la calidad del manejo. Para Minsur, una buena gestión de denuncias permite corregir conductas, prevenir su recurrencia y reforzar la confianza en el sistema.",5,26,198,
199,Paragraph,,"B impone una barrera indebida (archivar por falta de pruebas) en lugar de investigar. C viola el debido proceso con sanciones automáticas. D expone a las personas y vulnera la confidencialidad. E excluye a la mayoría, cuando el canal debe ser accesible para todos.",5,26,199,
200,Paragraph,Exercise,"Reconoce el manejo correcto de una denuncia (registro, investigación con debido proceso, respuesta).",5,26,200,
201,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 31; Código de Ética y Canal de Integridad de Minsur.",5,26,201,
202,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_27_sancion_proporcional.png,5,27,202,ddhh_27_sancion_proporcional
203,Paragraph,,"La sanción procede solo si se prueba la falta, con debido proceso y de forma proporcional.",5,27,203,
204,Multiple Choice Question,,,5,27,204,
205,Paragraph,,"Recibir una denuncia no equivale a culpabilidad: la sanción solo procede cuando una investigación seria, con debido proceso y derecho de defensa, determina que efectivamente hubo una falta. Y debe ser proporcional a la gravedad del hecho probado. No todas las denuncias derivan en sanción —algunas no se confirman o corresponden a otro tipo de respuesta, como una medida correctiva o de remediación—, y eso no significa que el sistema falle: significa que actúa con justicia. Para Minsur, esta proporcionalidad y este rigor son los que dan legitimidad al canal y protegen tanto a quien denuncia como a quien es señalado.",5,27,205,
206,Paragraph,,"B atropella el debido proceso al sancionar sin investigar. C confunde confidencialidad con impunidad: proteger datos no impide sancionar una falta probada. D condiciona la sanción al anonimato, lo que es arbitrario. E elimina el análisis del caso, base de toda decisión justa.",5,27,206,
207,Paragraph,Exercise,Aplica el principio de debido proceso y proporcionalidad en la respuesta a una denuncia.,5,27,207,
208,Paragraph,Source,Debido proceso y proporcionalidad; Principios Rectores de la ONU (2011); Código de Ética de Minsur.,5,27,208,
209,Heading,Heading,5.3 Confidencialidad y no represalias,5,,209,
210,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_28_confidencialidad.png,5,28,210,ddhh_28_confidencialidad
211,Paragraph,,"Confidencialidad: proteger la identidad y la información, compartiéndola solo con quien gestiona el caso.",5,28,211,
212,Multiple Choice Question,,,5,28,212,
213,Paragraph,,"La confidencialidad es una garantía esencial para que las personas se animen a reportar. Significa que la identidad de quien denuncia y los datos del caso se protegen y se comparten únicamente con quienes deben investigarlo y resolverlo, resguardando también la privacidad de las personas señaladas mientras dure el proceso. No equivale a ocultar el caso ni a eliminar evidencias: la información se gestiona con reserva, no se destruye. En Minsur, la confidencialidad reduce el temor a la exposición y a las represalias, y por eso es una condición para que el canal funcione y la gente confíe en él.",5,28,213,
214,Paragraph,,"B y C contradicen la reserva: publicar o difundir libremente expone a las personas. D confunde confidencialidad con destrucción de pruebas, lo que sabotea la investigación. E condiciona la protección al resultado, cuando debe regir desde el inicio.",5,28,214,
215,Paragraph,Exercise,Reconoce el alcance de la confidencialidad y la protección de la privacidad en las denuncias.,5,28,215,
216,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 31; políticas de confidencialidad de Minsur.",5,28,216,
217,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_29_no_represalias.png,5,29,217,ddhh_29_no_represalias
218,Paragraph,,No represalias: nadie puede ser perjudicado por denunciar de buena fe.,5,29,218,
219,Multiple Choice Question,,,5,29,219,
220,Paragraph,,"Para que un canal funcione, las personas deben poder usarlo sin miedo. Por eso rige el principio de no represalia: nadie puede ser despedido, sancionado, excluido ni perjudicado por reportar de buena fe una posible falta. Denunciar 'de buena fe' significa hacerlo con la convicción honesta de que algo está mal, aunque la investigación luego no lo confirme. Junto con la confidencialidad, la no represalia anima a reportar y permite detectar problemas a tiempo. En Minsur, proteger a quien alza la voz es parte esencial de una cultura de integridad: tomar represalias es, en sí mismo, una falta grave.",5,29,220,
221,Paragraph,,"B impone una barrera indebida: no se exige prueba irrefutable para reportar de buena fe. C expone innecesariamente al denunciante; la denuncia no requiere ser pública. D describe justamente lo prohibido. E excluye a la mayoría, cuando el canal debe ser accesible para todos.",5,29,221,
222,Paragraph,Exercise,Reconoce la no represalia como protección del denunciante de buena fe.,5,29,222,
223,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 31; protección del denunciante; Código de Ética de Minsur.",5,29,223,
224,Heading,Heading,5.4 Remediación y reparación,5,,224,
225,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_30_remediacion.png,5,30,225,ddhh_30_remediacion
226,Paragraph,,Remediar: reparar el daño y dar garantías de no repetición. Cierra el ciclo de diligencia.,5,30,226,
227,Multiple Choice Question,,,5,30,227,
228,Paragraph,,"El acceso a la remediación es el tercer pilar de los Principios Rectores. Cuando una empresa causa o contribuye a un impacto negativo, tiene la responsabilidad de remediarlo, es decir, de reparar o contribuir a reparar el daño causado a las personas afectadas. La remediación puede tomar varias formas: disculpas, restitución, rehabilitación, compensación económica, medidas de satisfacción y, muy importante, garantías de no repetición para evitar que el daño vuelva a ocurrir. Para Minsur, remediar de forma oportuna y proporcional demuestra un compromiso real, restaura la confianza con personas y comunidades, y cierra el ciclo de la debida diligencia.",5,30,228,
229,Paragraph,,B abandona a la persona afectada. C evade la responsabilidad propia. D es pasivo: no se requiere una orden judicial para reparar un daño confirmado. E es insuficiente: registrar no es remediar.,5,30,229,
230,Paragraph,Exercise,Reconoce la obligación de remediar y sus formas cuando hay un impacto confirmado.,5,30,230,
231,Paragraph,Source,"Principios Rectores de la ONU (2011), acceso a la reparación (Principios 22 y 25).",5,30,231,
232,Heading,Heading,6.1 Casos de discriminación e igualdad,6,,232,
233,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_31_caso_discriminacion_maternidad.png,6,31,233,ddhh_31_caso_discriminacion_maternidad
234,Paragraph,,"Mismo mérito: decidir por competencias, no por género. Descartar por maternidad es discriminar.",6,31,234,
235,Multiple Choice Question,,,6,31,235,
236,Paragraph,,"Descartar a una candidata por la posibilidad de una futura maternidad es discriminación por género, una de las formas de discriminación expresamente prohibidas. La maternidad —o su mera posibilidad— no es un criterio técnico ni de desempeño; es una condición personal protegida. Las decisiones de selección deben basarse en el mérito, las competencias y la idoneidad para el puesto, garantizando igualdad de oportunidades. Razonamientos como 'podría faltar' o 'podría embarazarse' vulneran derechos, exponen a Minsur a sanciones y dañan su cultura. Ante el mismo mérito, la decisión debe ser objetiva y libre de sesgos; quien lo advierte debe corregir el criterio o escalarlo.",6,31,236,
237,Paragraph,,"B, C, D y E intentan justificar la discriminación disfrazándola de eficiencia, ahorro o criterio técnico. Ninguna lo es: todas se basan en una condición personal protegida, y la aprobación de una jefatura no legitima una práctica discriminatoria.",6,31,237,
238,Paragraph,Exercise,Identifica la discriminación por género en un caso de selección y aplica el criterio de mérito.,6,31,238,
239,Paragraph,Source,"DUDH, Art. 2 y 7; Convenios de la OIT sobre igualdad y no discriminación (C111).",6,31,239,
240,Heading,Heading,6.2 Casos de seguridad y uso de la fuerza,6,,240,
241,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_32_caso_omitir_capacitacion.png,6,32,241,ddhh_32_caso_omitir_capacitacion
242,Paragraph,,"Sin capacitación de seguridad, la tarea de riesgo se detiene: la vida está antes que el plazo.",6,32,242,
243,Multiple Choice Question,,,6,32,243,
244,Paragraph,,"Enviar a personas a una tarea de riesgo sin la capacitación de seguridad obligatoria las expone a un daño grave y evitable, vulnerando su derecho a la vida y a la integridad. Que sean contratistas no cambia nada: forman parte del entorno de la operación y Minsur tiene responsabilidad sobre los impactos vinculados a su actividad. La presión por cumplir un plazo nunca justifica omitir controles de seguridad. Lo correcto es detener la tarea, brindar la capacitación y la protección necesarias y recién entonces ejecutarla. Aquí la seguridad ocupacional y los Derechos Humanos se encuentran: prevenir el daño es la prioridad.",6,32,244,
245,Paragraph,,"B traslada indebidamente el riesgo al contratista. C subordina la vida al plazo, lo que es inaceptable. D minimiza la capacitación como mero trámite. E desconoce la responsabilidad de la empresa sobre los impactos en su cadena.",6,32,245,
246,Paragraph,Exercise,Decide detener una tarea de riesgo y proteger a las personas frente a la presión por el plazo.,6,32,246,
247,Paragraph,Source,"DUDH, Art. 3; Convenios de la OIT sobre seguridad y salud en el trabajo; Principios Rectores de la ONU (2011).",6,32,247,
248,Heading,Heading,6.3 Casos de comunidades y medio ambiente,6,,248,
249,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_33_caso_proveedor_contaminante.png,6,33,249,ddhh_33_caso_proveedor_contaminante
250,Paragraph,,"Proveedor que contamina el agua de una comunidad: rechazar y reportar, pese al bajo costo.",6,33,250,
251,Multiple Choice Question,,,6,33,251,
252,Paragraph,,"Contratar a un proveedor cuyas prácticas contaminan una fuente de agua expondría a Minsur a estar vinculada a un impacto sobre derechos de la comunidad —salud, agua y medio ambiente sano—. El bajo costo no compensa ese riesgo. Lo correcto es no contratar y reportar la situación por los canales internos, para que se evalúe y gestione. Que el daño ocurra fuera del cerco no exime de responsabilidad: el impacto se originaría en una relación comercial de la empresa. Este es justo el tipo de riesgo que la debida diligencia en la cadena de suministro busca prevenir antes de que se materialice.",6,33,252,
253,Paragraph,,"B y D aceptan el riesgo o lo delegan, contradiciendo la debida diligencia. C subordina los derechos al presupuesto. E evade la responsabilidad porque el daño ocurre fuera del cerco, ignorando la vinculación por la relación comercial.",6,33,253,
254,Paragraph,Exercise,Decide rechazar y reportar ante un proveedor que genera un impacto ambiental a una comunidad.,6,33,254,
255,Paragraph,Source,"Principios Rectores de la ONU (2011), Principios 13 y 19; derecho al agua y a un medio ambiente sano.",6,33,255,
256,Heading,Heading,6.4 Casos de denuncias y represalias,6,,256,
257,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_34_caso_represalia.png,6,34,257,ddhh_34_caso_represalia
258,Paragraph,,Excluir o marginar a quien denunció es una represalia prohibida: debe reportarse.,6,34,258,
259,Multiple Choice Question,,,6,34,259,
260,Paragraph,,"Excluir a alguien, marginarlo o asignarle deliberadamente tareas irrelevantes después de que denunció de buena fe es una represalia: una acción que lo perjudica por haber usado el canal. Las represalias están expresamente prohibidas porque destruyen la confianza en el sistema y disuaden a otros de reportar. Lo importante es que la represalia es, en sí misma, una nueva falta: no se justifica por estar en curso una investigación ni es un 'asunto privado'. En Minsur, quien sufre o detecta una represalia debe reportarla, y la empresa debe protegerlo y sancionar la conducta de quien tomó represalia.",6,34,260,
261,Paragraph,,"B y E niegan o privatizan la represalia, desconociendo su gravedad. C la normaliza como 'esperable', justo lo contrario de lo que protege el sistema. D la disfraza de medida temporal, cuando ninguna investigación habilita perjudicar al denunciante.",6,34,261,
262,Paragraph,Exercise,Identifica una conducta de represalia contra un denunciante y reconoce el deber de reportarla.,6,34,262,
263,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 31; protección frente a represalias; Código de Ética de Minsur.",6,34,263,
264,Heading,Heading,6.2 Casos de seguridad y uso de la fuerza,6,,264,
265,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_35_caso_uso_fuerza.png,6,35,265,ddhh_35_caso_uso_fuerza
266,Paragraph,,"Ante una protesta pacífica: diálogo y desescalada; la fuerza, solo último recurso y proporcional.",6,35,266,
267,Multiple Choice Question,,,6,35,267,
268,Paragraph,,"La gestión de la seguridad en torno a una operación minera debe respetar los Derechos Humanos de todas las personas, incluidas las que protestan. El estándar internacional —recogido en los Principios Voluntarios de Seguridad y Derechos Humanos— prioriza el diálogo, la prevención y la desescalada; el uso de la fuerza solo se admite como último recurso, debe ser proporcional y necesario, y nunca puede vulnerar la integridad ni la vida. Reprimir, actuar sin reglas o detener arbitrariamente a manifestantes pacíficos vulnera derechos como la libertad de expresión, la reunión pacífica y la integridad. Para Minsur, capacitar a su personal de seguridad en estos principios es parte de su debida diligencia.",6,35,268,
269,Paragraph,,"B y E recurren a la represión o la detención arbitraria frente a una protesta pacífica, vulnerando derechos. C deja la fuerza sin reglas, contrario a la proporcionalidad. D omite la responsabilidad de gestionar la situación de forma preventiva y dialogada.",6,35,269,
270,Paragraph,Exercise,"Aplica los criterios de diálogo, último recurso y proporcionalidad en el uso de la fuerza.",6,35,270,
271,Paragraph,Source,"Principios Voluntarios de Seguridad y Derechos Humanos; DUDH, Art. 19 y 20 (expresión y reunión pacífica).",6,35,271,
272,Heading,Heading,6.3 Casos de comunidades y medio ambiente,6,,272,
273,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_36_caso_comunidad_agua.png,6,36,273,ddhh_36_caso_comunidad_agua
274,Paragraph,,"Reclamo de la comunidad = posible impacto a derechos: dialogar, canalizar y mitigar.",6,36,274,
275,Multiple Choice Question,,,6,36,275,
276,Paragraph,,"El reclamo de la comunidad señala posibles impactos sobre derechos como la salud, el acceso al agua y un medio ambiente sano. Desde el enfoque de Derechos Humanos no es un problema de imagen ni algo que pueda ignorarse: Minsur debe identificar y evaluar el impacto real o potencial, abrir un diálogo de buena fe con la comunidad afectada, canalizar el reclamo a través de su mecanismo de reclamación y aplicar planes de mitigación o reparación si corresponde. Las comunidades del entorno son titulares de derechos legítimos, y atender sus reclamos de forma temprana previene conflictos y daños mayores, además de construir confianza.",6,36,276,
277,Paragraph,,"B reduce un impacto en derechos a comunicación. C agrava el daño al ignorarlo. D evade la responsabilidad: el impacto se origina en la operación, aunque ocurra fuera del cerco. E delega indebidamente: la empresa también tiene responsabilidad de respetar y remediar.",6,36,277,
278,Paragraph,Exercise,"Identifica un impacto a comunidades y la vía de gestión (diálogo, reclamación, mitigación).",6,36,278,
279,Paragraph,Source,"DUDH, Art. 25; Principios Rectores de la ONU (2011); derecho al agua y a un medio ambiente sano.",6,36,279,
280,Heading,Heading,3.4 Capacitación y cultura,3,,280,
281,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_37_alcance_curso.png,3,37,281,ddhh_37_alcance_curso
282,Paragraph,,El curso busca comprender los DDHH y aplicarlos en el trabajo diario en Minsur.,3,37,282,
283,Multiple Choice Question,,,3,37,283,
284,Paragraph,,"El curso no busca un aprendizaje meramente teórico ni un trámite para certificarse: su propósito es que cada colaborador y contratista comprenda qué son los Derechos Humanos, cuál es el rol y el compromiso de Minsur, y —sobre todo— cómo aplicar ese conocimiento en su trabajo diario. Eso incluye reconocer riesgos e impactos, saber cómo y dónde reportar, y actuar con respeto hacia compañeros, contratistas y comunidades. El valor del curso se mide en decisiones concretas: identificar a tiempo una situación sensible y canalizarla bien es el resultado de aprendizaje que se espera.",3,37,284,
285,Paragraph,,"B y D reducen el curso a memorización o a casos legales, ignorando su enfoque aplicado. C lo limita a aprobar un examen, vaciándolo de propósito. E le atribuye un fin de productividad ajeno a los Derechos Humanos.",3,37,285,
286,Paragraph,Exercise,Comprende el propósito aplicado del curso y su traducción en la conducta diaria.,3,37,286,
287,Paragraph,Source,"Programa de capacitación en Derechos Humanos de Minsur; Principios Rectores de la ONU (2011), integración.",3,37,287,
288,Heading,Heading,"1.1 Definición y características (universalidad, dignidad)",1,,288,
289,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_38_dignidad.png,1,38,289,ddhh_38_dignidad
290,Paragraph,,La dignidad es el valor intrínseco de toda persona: no se gana ni se pierde.,1,38,290,
291,Multiple Choice Question,,,1,38,291,
292,Paragraph,,"La dignidad humana es la base de todos los Derechos Humanos: significa que cada persona tiene un valor propio e inherente por el solo hecho de existir, que merece respeto en todo momento y que no puede ser tratada como un simple medio. Ese valor no se gana ni se pierde: no depende del cargo, del rendimiento, de la nacionalidad ni de la conducta. En Minsur, reconocer la dignidad de colaboradores, contratistas y miembros de las comunidades implica tratarlos siempre con respeto, escuchar sus reclamos y no instrumentalizarlos. Es el principio que da sentido a todos los demás derechos.",1,38,292,
293,Paragraph,,"B y C condicionan la dignidad al desempeño o al cumplimiento de normas, negando su carácter inherente. D la confunde con un trámite estatal. E la hace depender del nivel socioeconómico, lo que contradice la igualdad en dignidad de todas las personas.",1,38,293,
294,Paragraph,Exercise,Comprende el concepto de dignidad humana como fundamento inherente de los DDHH.,1,38,294,
295,Paragraph,Source,"DUDH, Preámbulo y Art. 1; Pacto Internacional de Derechos Civiles y Políticos.",1,38,295,
296,Heading,Heading,1.4 Tipos y evolución de los derechos (incl. ambientales),1,,296,
297,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_39_interdependencia.png,1,39,297,ddhh_39_interdependencia
298,Paragraph,,Los derechos son indivisibles e interdependientes: vulnerar uno afecta a los demás.,1,39,298,
299,Multiple Choice Question,,,1,39,299,
300,Paragraph,,"La indivisibilidad e interdependencia significan que los Derechos Humanos forman un todo: no hay derechos de primera y de segunda categoría, y la afectación de uno repercute en los demás. Por ejemplo, contaminar una fuente de agua (medio ambiente) afecta la salud, la alimentación y hasta la vida de una comunidad. Por eso una empresa no puede 'elegir' respetar unos derechos y descuidar otros según su conveniencia. Para Minsur, esta visión integral evita mirar los impactos de forma aislada: un problema ambiental, laboral o de seguridad casi siempre es, a la vez, un asunto de varios derechos entrelazados.",1,39,300,
301,Paragraph,,"B jerarquiza los derechos, contradiciendo la indivisibilidad. C autoriza un respeto selectivo, prohibido. D niega la interdependencia. E impone una prevalencia económica que no existe en el marco de DDHH.",1,39,301,
302,Paragraph,Exercise,Reconoce la indivisibilidad e interdependencia de los derechos y sus implicancias.,1,39,302,
303,Paragraph,Source,Declaración y Programa de Acción de Viena (1993); DUDH.,1,39,303,
304,Heading,Heading,"2.1 Principios Rectores de la ONU (Proteger, Respetar, Remediar)",2,,304,
305,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_40_deber_estado.png,2,40,305,ddhh_40_deber_estado
306,Paragraph,,El Estado protege con leyes; la empresa respeta gestionando sus impactos. Roles distintos.,2,40,306,
307,Multiple Choice Question,,,2,40,307,
308,Paragraph,,"Los Principios Rectores distinguen con claridad dos roles complementarios. El Estado tiene el deber de proteger: debe prevenir, investigar y sancionar los abusos a los Derechos Humanos —incluidos los cometidos por empresas— mediante leyes, fiscalización y acceso a la justicia. La empresa tiene la responsabilidad de respetar: no causar ni contribuir a impactos negativos y gestionar los que estén vinculados a su actividad. No se sustituyen ni se anulan: ambos coexisten. Para Minsur, entender esto evita dos errores frecuentes: creer que la responsabilidad propia 'la cubre el Estado', o pretender que la empresa asuma funciones estatales que no le corresponden.",2,40,308,
309,Paragraph,,"B borra una distinción esencial del marco. C invierte los roles. D niega que existan obligaciones reales. E afirma falsamente que el deber estatal cesa, cuando coexiste con la responsabilidad empresarial.",2,40,309,
310,Paragraph,Exercise,Distingue el deber estatal de proteger y la responsabilidad empresarial de respetar.,2,40,310,
311,Paragraph,Source,"Principios Rectores de la ONU (2011), Pilares I y II (Principios 1 y 11).",2,40,311,
312,Heading,Heading,4.1 Identificación y evaluación de riesgos e impactos,4,,312,
313,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_41_riesgos_salientes.png,4,41,313,ddhh_41_riesgos_salientes
314,Paragraph,,"En minería, los riesgos salientes: seguridad, comunidades, trabajo forzoso y uso de la fuerza.",4,41,314,
315,Multiple Choice Question,,,4,41,315,
316,Paragraph,,"La debida diligencia debe concentrarse en los riesgos más severos y probables para las personas, los llamados riesgos 'salientes'. En minería estos suelen incluir: la seguridad y salud de trabajadores y contratistas; los impactos a comunidades por el uso de agua y tierra, el polvo o eventuales reasentamientos; riesgos de trabajo forzoso o infantil en la cadena de proveedores; y el uso de la fuerza por parte del personal de seguridad. Identificar estos riesgos propios del sector permite a Minsur enfocar sus esfuerzos donde el daño potencial a las personas es mayor, en lugar de dispersarlos.",4,41,316,
317,Paragraph,,"B, C, D y E miran el negocio o la administración (producción, rentabilidad, trámites, conflictos internos), no los impactos sobre las personas, que es el criterio para identificar riesgos salientes en DDHH.",4,41,317,
318,Paragraph,Exercise,Identifica los riesgos salientes propios del sector minero.,4,41,318,
319,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 24; guías sectoriales de DDHH para minería.",4,41,319,
320,Heading,Heading,4.3 Cadena de suministro y contratistas,4,,320,
321,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_42_trabajo_infantil.png,4,42,321,ddhh_42_trabajo_infantil
322,Paragraph,,"Trabajo infantil en la cadena: verificar, exigir remediación y proteger al menor.",4,42,322,
323,Multiple Choice Question,,,4,42,323,
324,Paragraph,,"El trabajo infantil es una vulneración grave de los Derechos Humanos y está prohibido por los Convenios de la OIT. Si se detecta en la cadena, la empresa no puede desentenderse 'porque es del proveedor': está vinculada al impacto y debe usar su influencia para que cese. La respuesta responsable combina verificar el caso, exigir un plan de remediación y, sobre todo, proteger el interés superior del niño o niña; un retiro brusco sin medidas de protección puede empujarlo a una situación peor. Para Minsur, evaluar y exigir estándares a sus proveedores es la forma de prevenir y abordar este riesgo.",4,42,324,
325,Paragraph,,"B niega la responsabilidad sobre la cadena. C invoca la tolerancia local para justificar lo prohibido. D propone una salida abrupta que puede dañar más al menor, sin remediación. E subordina un derecho humano a la calidad del producto.",4,42,325,
